code,year,corps
03201,2016,200
03201,2017,164
03201,2018,174
03201,2019,182
03201,2020,177
03201,2021,178
03201,2022,168
03201,2023,187
03201,2024,186
03201,2025,219
03201,2026,154
03201,closed,1417
03202,2016,14
03202,2017,14
03202,2018,20
03202,2019,10
03202,2020,12
03202,2021,9
03202,2022,11
03202,2023,11
03202,2024,9
03202,2025,17
03202,2026,5
03202,closed,188
03203,2016,16
03203,2017,13
03203,2018,14
03203,2019,14
03203,2020,8
03203,2021,16
03203,2022,4
03203,2023,6
03203,2024,6
03203,2025,12
03203,2026,7
03203,closed,156
03205,2016,46
03205,2017,43
03205,2018,30
03205,2019,35
03205,2020,31
03205,2021,54
03205,2022,29
03205,2023,46
03205,2024,32
03205,2025,32
03205,2026,32
03205,closed,322
03206,2016,34
03206,2017,37
03206,2018,46
03206,2019,35
03206,2020,42
03206,2021,54
03206,2022,48
03206,2023,51
03206,2024,51
03206,2025,30
03206,2026,36
03206,closed,320
03207,2016,8
03207,2017,15
03207,2018,13
03207,2019,11
03207,2020,9
03207,2021,6
03207,2022,8
03207,2023,8
03207,2024,7
03207,2025,8
03207,2026,9
03207,closed,190
03208,2016,9
03208,2017,6
03208,2018,5
03208,2019,9
03208,2020,6
03208,2021,9
03208,2022,13
03208,2023,10
03208,2024,14
03208,2025,10
03208,2026,6
03208,closed,87
03209,2016,40
03209,2017,46
03209,2018,38
03209,2019,35
03209,2020,29
03209,2021,44
03209,2022,33
03209,2023,52
03209,2024,27
03209,2025,37
03209,2026,37
03209,closed,410
03210,2016,8
03210,2017,9
03210,2018,6
03210,2019,12
03210,2020,5
03210,2021,9
03210,2022,14
03210,2023,9
03210,2024,6
03210,2025,7
03210,2026,6
03210,closed,84
03211,2016,10
03211,2017,10
03211,2018,12
03211,2019,7
03211,2020,12
03211,2021,11
03211,2022,9
03211,2023,7
03211,2024,9
03211,2025,8
03211,2026,3
03211,closed,217
03213,2016,8
03213,2017,10
03213,2018,6
03213,2019,10
03213,2020,6
03213,2021,8
03213,2022,5
03213,2023,11
03213,2024,6
03213,2025,12
03213,2026,3
03213,closed,100
03214,2016,12
03214,2017,12
03214,2018,14
03214,2019,14
03214,2020,15
03214,2021,18
03214,2022,13
03214,2023,6
03214,2024,10
03214,2025,17
03214,2026,11
03214,closed,104
03215,2016,50
03215,2017,43
03215,2018,38
03215,2019,40
03215,2020,44
03215,2021,46
03215,2022,46
03215,2023,41
03215,2024,40
03215,2025,43
03215,2026,38
03215,closed,431
03216,2016,24
03216,2017,23
03216,2018,14
03216,2019,24
03216,2020,17
03216,2021,29
03216,2022,24
03216,2023,30
03216,2024,31
03216,2025,21
03216,2026,20
03216,closed,138
03301,2016,6
03301,2017,5
03301,2018,1
03301,2019,4
03301,2020,6
03301,2021,5
03301,2022,6
03301,2023,7
03301,2024,10
03301,2025,5
03301,2026,1
03301,closed,71
03302,2016,1
03302,2017,1
03302,2018,1
03302,2019,2
03302,2020,3
03302,2021,0
03302,2022,5
03302,2023,2
03302,2024,1
03302,2025,0
03302,2026,1
03302,closed,23
03303,2016,7
03303,2017,10
03303,2018,1
03303,2019,4
03303,2020,7
03303,2021,2
03303,2022,6
03303,2023,2
03303,2024,4
03303,2025,3
03303,2026,2
03303,closed,40
03305,closed,1
03321,2016,11
03321,2017,10
03321,2018,10
03321,2019,15
03321,2020,10
03321,2021,12
03321,2022,12
03321,2023,16
03321,2024,17
03321,2025,14
03321,2026,13
03321,closed,100
03322,2016,13
03322,2017,8
03322,2018,9
03322,2019,25
03322,2020,11
03322,2021,15
03322,2022,12
03322,2023,7
03322,2024,8
03322,2025,12
03322,2026,8
03322,closed,93
03366,2016,2
03366,2017,2
03366,2018,3
03366,2019,0
03366,2020,1
03366,2021,3
03366,2022,3
03366,2023,1
03366,2024,2
03366,2025,0
03366,2026,3
03366,closed,26
03381,2016,11
03381,2017,11
03381,2018,5
03381,2019,5
03381,2020,7
03381,2021,4
03381,2022,4
03381,2023,5
03381,2024,3
03381,2025,6
03381,2026,3
03381,closed,45
03402,2016,3
03402,2017,4
03402,2018,3
03402,2019,2
03402,2020,1
03402,2021,6
03402,2022,5
03402,2023,3
03402,2024,4
03402,2025,6
03402,2026,5
03402,closed,31
03441,2016,1
03441,2017,3
03441,2018,1
03441,2019,3
03441,2020,2
03441,2021,1
03441,2022,0
03441,2023,2
03441,2024,0
03441,2025,0
03441,2026,1
03441,closed,25
03461,2016,7
03461,2017,4
03461,2018,6
03461,2019,2
03461,2020,6
03461,2021,4
03461,2022,3
03461,2023,4
03461,2024,5
03461,2025,2
03461,2026,3
03461,closed,52
03482,2016,7
03482,2017,3
03482,2018,7
03482,2019,7
03482,2020,1
03482,2021,6
03482,2022,3
03482,2023,3
03482,2024,6
03482,2025,7
03482,2026,3
03482,closed,55
03483,2016,3
03483,2017,6
03483,2018,2
03483,2019,0
03483,2020,0
03483,2021,2
03483,2022,5
03483,2023,5
03483,2024,4
03483,2025,3
03483,2026,2
03483,closed,36
03484,2016,0
03484,2017,3
03484,2018,1
03484,2019,0
03484,2020,2
03484,2021,3
03484,2022,1
03484,2023,0
03484,2024,1
03484,2025,1
03484,2026,0
03484,closed,14
03485,2016,1
03485,2017,2
03485,2018,0
03485,2019,1
03485,2020,0
03485,2021,1
03485,2022,0
03485,2023,0
03485,2024,0
03485,2025,1
03485,2026,2
03485,closed,8
03501,2016,2
03501,2017,3
03501,2018,0
03501,2019,0
03501,2020,2
03501,2021,7
03501,2022,0
03501,2023,3
03501,2024,6
03501,2025,9
03501,2026,3
03501,closed,17
03503,2016,0
03503,2017,2
03503,2018,1
03503,2019,1
03503,2020,1
03503,2021,2
03503,2022,0
03503,2023,0
03503,2024,0
03503,2025,2
03503,2026,0
03503,closed,15
03506,2016,3
03506,2017,1
03506,2018,2
03506,2019,0
03506,2020,1
03506,2021,3
03506,2022,2
03506,2023,3
03506,2024,3
03506,2025,6
03506,2026,2
03506,closed,12
